market_type,security_code,orig_time,kline_time,open_price,high_price,low_price,close_price,volume_trade,value_trade,variety_category,open_price_yuan,high_price_yuan,low_price_yuan,close_price_yuan,volume_shares,value_trade_yuan
102,159518,0,202608210930,1265000,1271000,1262000,1265000,1520130000,1924053740000,0,1.265,1.271,1.262,1.265,15201300,19240537.4
102,159518,0,202608210931,1265000,1265000,1264000,1264000,878040000,1110622480000,0,1.265,1.265,1.264,1.264,8780400,11106224.8
102,159518,0,202608210932,1264000,1267000,1264000,1267000,307720000,389329230000,0,1.264,1.267,1.264,1.267,3077200,3893292.3
102,159518,0,202608210933,1267000,1268000,1266000,1267000,1083490000,1372787530000,0,1.267,1.268,1.266,1.267,10834900,13727875.3
102,159518,0,202608210934,1268000,1268000,1265000,1266000,731370000,926396520000,0,1.268,1.268,1.265,1.266,7313700,9263965.2
102,159518,0,202608210935,1267000,1270000,1266000,1270000,739540000,938024170000,0,1.267,1.27,1.266,1.27,7395400,9380241.7
102,159518,0,202608210936,1269000,1271000,1269000,1269000,787890000,1000280440000,0,1.269,1.271,1.269,1.269,7878900,10002804.4
102,159518,0,202608210937,1269000,1271000,1269000,1271000,562080000,713577960000,0,1.269,1.271,1.269,1.271,5620800,7135779.6
102,159518,0,202608210938,1271000,1271000,1269000,1271000,209600000,266264360000,0,1.271,1.271,1.269,1.271,2096000,2662643.6
102,159518,0,202608210939,1271000,1271000,1270000,1271000,228320000,290075120000,0,1.271,1.271,1.27,1.271,2283200,2900751.2
102,159518,0,202608210940,1271000,1272000,1270000,1272000,254520000,323514060000,0,1.271,1.272,1.27,1.272,2545200,3235140.6
102,159518,0,202608210941,1271000,1272000,1270000,1270000,423600000,538395010000,0,1.271,1.272,1.27,1.27,4236000,5383950.1
102,159518,0,202608210942,1270000,1270000,1268000,1269000,290740000,368874700000,0,1.27,1.27,1.268,1.269,2907400,3688747
102,159518,0,202608210943,1268000,1269000,1268000,1268000,182680000,231700710000,0,1.268,1.269,1.268,1.268,1826800,2317007.1
102,159518,0,202608210944,1268000,1269000,1267000,1268000,238640000,302574740000,0,1.268,1.269,1.267,1.268,2386400,3025747.4
102,159518,0,202608210945,1268000,1269000,1267000,1267000,325010000,412140110000,0,1.268,1.269,1.267,1.267,3250100,4121401.1
102,159518,0,202608210946,1267000,1269000,1267000,1268000,312930000,396790460000,0,1.267,1.269,1.267,1.268,3129300,3967904.6
102,159518,0,202608210947,1269000,1269000,1267000,1268000,152100000,192856270000,0,1.269,1.269,1.267,1.268,1521000,1928562.7
102,159518,0,202608210948,1267000,1268000,1267000,1268000,164020000,207955990000,0,1.267,1.268,1.267,1.268,1640200,2079559.9
102,159518,0,202608210949,1268000,1268000,1267000,1267000,143530000,181874410000,0,1.268,1.268,1.267,1.267,1435300,1818744.1
102,159518,0,202608210950,1267000,1268000,1267000,1267000,42470000,53825470000,0,1.267,1.268,1.267,1.267,424700,538254.7
102,159518,0,202608210951,1267000,1268000,1267000,1267000,81300000,103013300000,0,1.267,1.268,1.267,1.267,813000,1030133
102,159518,0,202608210952,1267000,1267000,1265000,1265000,705550000,893043970000,0,1.267,1.267,1.265,1.265,7055500,8930439.7
102,159518,0,202608210953,1265000,1266000,1265000,1266000,158850000,201041940000,0,1.265,1.266,1.265,1.266,1588500,2010419.4
102,159518,0,202608210954,1266000,1267000,1266000,1266000,84970000,107625540000,0,1.266,1.267,1.266,1.266,849700,1076255.4
102,159518,0,202608210955,1267000,1267000,1266000,1267000,193620000,245260790000,0,1.267,1.267,1.266,1.267,1936200,2452607.9
102,159518,0,202608210956,1267000,1268000,1267000,1268000,59060000,74857040000,0,1.267,1.268,1.267,1.268,590600,748570.4
102,159518,0,202608210957,1268000,1268000,1267000,1267000,38070000,48262620000,0,1.268,1.268,1.267,1.267,380700,482626.2
102,159518,0,202608210958,1267000,1268000,1267000,1268000,131580000,166810060000,0,1.267,1.268,1.267,1.268,1315800,1668100.6
102,159518,0,202608210959,1268000,1268000,1267000,1267000,50160000,63577340000,0,1.268,1.268,1.267,1.267,501600,635773.4
102,159518,0,202608211000,1267000,1269000,1267000,1269000,89280000,113203350000,0,1.267,1.269,1.267,1.269,892800,1132033.5
102,159518,0,202608211001,1269000,1269000,1268000,1268000,55620000,70564740000,0,1.269,1.269,1.268,1.268,556200,705647.4
102,159518,0,202608211002,1268000,1269000,1267000,1267000,93530000,118593240000,0,1.268,1.269,1.267,1.267,935300,1185932.4
102,159518,0,202608211003,1267000,1267000,1267000,1267000,101620000,128767250000,0,1.267,1.267,1.267,1.267,1016200,1287672.5
102,159518,0,202608211004,1267000,1267000,1266000,1266000,188190000,238335860000,0,1.267,1.267,1.266,1.266,1881900,2383358.6
102,159518,0,202608211005,1266000,1266000,1265000,1266000,131740000,166766530000,0,1.266,1.266,1.265,1.266,1317400,1667665.3
102,159518,0,202608211006,1266000,1267000,1265000,1267000,108490000,137342440000,0,1.266,1.267,1.265,1.267,1084900,1373424.4
102,159518,0,202608211007,1267000,1267000,1266000,1266000,41560000,52631070000,0,1.267,1.267,1.266,1.266,415600,526310.7
102,159518,0,202608211008,1266000,1267000,1265000,1265000,233170000,295142560000,0,1.266,1.267,1.265,1.265,2331700,2951425.6
102,159518,0,202608211009,1265000,1266000,1265000,1265000,9540000,12068170000,0,1.265,1.266,1.265,1.265,95400,120681.7
102,159518,0,202608211010,1265000,1267000,1265000,1266000,238880000,302409360000,0,1.265,1.267,1.265,1.266,2388800,3024093.6
102,159518,0,202608211011,1266000,1266000,1265000,1265000,109150000,138178510000,0,1.266,1.266,1.265,1.265,1091500,1381785.1
102,159518,0,202608211012,1265000,1266000,1265000,1266000,9470000,11987170000,0,1.265,1.266,1.265,1.266,94700,119871.7
102,159518,0,202608211013,1265000,1266000,1265000,1265000,5960000,7540930000,0,1.265,1.266,1.265,1.265,59600,75409.3
102,159518,0,202608211014,1265000,1266000,1265000,1265000,18650000,23599250000,0,1.265,1.266,1.265,1.265,186500,235992.5
102,159518,0,202608211015,1265000,1265000,1264000,1264000,652460000,825083940000,0,1.265,1.265,1.264,1.264,6524600,8250839.4
102,159518,0,202608211016,1264000,1264000,1264000,1264000,143550000,181447200000,0,1.264,1.264,1.264,1.264,1435500,1814472
102,159518,0,202608211017,1264000,1265000,1264000,1264000,13680000,17296550000,0,1.264,1.265,1.264,1.264,136800,172965.5
102,159518,0,202608211018,1265000,1265000,1264000,1265000,265870000,336322170000,0,1.265,1.265,1.264,1.265,2658700,3363221.7
102,159518,0,202608211019,1265000,1265000,1264000,1264000,60260000,76212370000,0,1.265,1.265,1.264,1.264,602600,762123.7
102,159518,0,202608211020,1264000,1265000,1264000,1265000,13140000,16610890000,0,1.264,1.265,1.264,1.265,131400,166108.9
102,159518,0,202608211021,1265000,1265000,1264000,1265000,38490000,48661640000,0,1.265,1.265,1.264,1.265,384900,486616.4
102,159518,0,202608211022,1264000,1265000,1264000,1265000,110350000,139576330000,0,1.264,1.265,1.264,1.265,1103500,1395763.3
102,159518,0,202608211023,1265000,1265000,1264000,1264000,47230000,59702210000,0,1.265,1.265,1.264,1.264,472300,597022.1
102,159518,0,202608211024,1264000,1265000,1264000,1265000,23420000,29624280000,0,1.264,1.265,1.264,1.265,234200,296242.8
102,159518,0,202608211025,1265000,1265000,1264000,1264000,65750000,83114080000,0,1.265,1.265,1.264,1.264,657500,831140.8
