fund_code,fund_market,date,time,estimated_nav,stock_value_cny,fixed_cash_cny,estimated_cash_cny,creation_unit,published_nav,minute_component_count,minute_source_ref,minute_quote_source
159217,SZ,2026-09-08,0930,1.1984893543349,1198895.5943349000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0931,1.2020380134819,1202444.2534819000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0932,1.2043684223154,1204774.6623154000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0933,1.206317190407,1206723.4304070000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0934,1.2058051088645,1206211.3488645000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0935,1.2012486274064,1201654.8674064000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0936,1.2012964822211,1201702.7222211000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0937,1.1995014704773,1199907.7104773000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0938,1.1965557465379,1196961.9865379000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0939,1.1961628847565,1196569.1247565000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0940,1.1956522042224,1196058.4442224000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0941,1.1940075025187,1194413.7425187000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0942,1.1944254743488,1194831.7143488000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0943,1.1948846116109,1195290.8516109000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0944,1.1939469521464,1194353.1921464000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0945,1.1930407115925,1193446.9515925000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0946,1.1900909835365,1190497.2235365000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0947,1.1908115083195,1191217.7483195000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0948,1.1921629538853,1192569.1938853000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0949,1.1926933436672,1193099.5836672000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0950,1.1915688268694,1191975.0668694000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0951,1.1890715899338,1189477.8299338000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0952,1.190275946914,1190682.1869140000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0953,1.1938524619132,1194258.7019132000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0954,1.1971265839512,1197532.8239512000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0955,1.2009488548498,1201355.0948498000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0956,1.1968271919154,1197233.4319154000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0957,1.1950660724674,1195472.3124674000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0958,1.1941504832093,1194556.7232093000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,0959,1.1952578592747,1195664.0992747000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1000,1.1950455070478,1195451.7470478000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1001,1.1958983882077,1196304.6282077000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1002,1.1981228436189,1198529.0836189000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1003,1.1975741326253,1197980.3726253000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1004,1.19883273544,1199238.9754400000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1005,1.1978002398143,1198206.4798143000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1006,1.1972021000336,1197608.3400336000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1007,1.1981551835628,1198561.4235628000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1008,1.197615198603,1198021.4386030000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1009,1.196177002943,1196583.2429430000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1010,1.196990625599,1197396.8655990000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1011,1.1963998627329,1196806.1027329000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1012,1.1957730671415,1196179.3071415000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1013,1.1948749472474,1195281.1872474000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
159217,SZ,2026-09-08,1014,1.1941497437882,1194555.9837882000,0,-406.24,1000000.00,1.2081,36,minute:159217,Tencent minute; exact common timestamp intersection
