198542875,2026-09-09,2026-09-09,XOM,XOM,28.00,必须,10.0000,--
198542874,2026-09-09,2026-09-09,WKC,WKC,58.00,必须,10.0000,--
198542873,2026-09-09,2026-09-09,VTS,VTS,44.00,必须,10.0000,--
198542872,2026-09-09,2026-09-09,VNOM,VNOM,94.00,必须,10.0000,--
198542871,2026-09-09,2026-09-09,VLO,VLO,16.00,必须,10.0000,--
198542870,2026-09-09,2026-09-09,VG,VG,315.00,必须,10.0000,--
198542869,2026-09-09,2026-09-09,TPL,TPL,11.00,必须,10.0000,--
198542868,2026-09-09,2026-09-09,TALO,TALO,176.00,必须,10.0000,--
198542867,2026-09-09,2026-09-09,SOC,SOC,242.00,必须,10.0000,--
198542866,2026-09-09,2026-09-09,SM,SM,128.00,必须,10.0000,--
198542865,2026-09-09,2026-09-09,SD,SD,41.00,必须,10.0000,--
198542864,2026-09-09,2026-09-09,RRC,RRC,107.00,必须,10.0000,--
198542863,2026-09-09,2026-09-09,REX,REX,18.00,必须,10.0000,--
198542862,2026-09-09,2026-09-09,PSX,PSX,23.00,必须,10.0000,--
198542861,2026-09-09,2026-09-09,PR,PR,212.00,必须,10.0000,--
198542860,2026-09-09,2026-09-09,PBF,PBF,98.00,必须,10.0000,--
198542859,2026-09-09,2026-09-09,PARR,PARR,73.00,必须,10.0000,--
198542858,2026-09-09,2026-09-09,OXY,OXY,73.00,必须,10.0000,--
198542857,2026-09-09,2026-09-09,OVV,OVV,72.00,必须,10.0000,--
198542856,2026-09-09,2026-09-09,NUAI,NUAI,142.00,必须,10.0000,--
198542855,2026-09-09,2026-09-09,NOG,NOG,160.00,必须,10.0000,--
198542854,2026-09-09,2026-09-09,MUR,MUR,105.00,必须,10.0000,--
198542853,2026-09-09,2026-09-09,MTDR,MTDR,76.00,必须,10.0000,--
198542852,2026-09-09,2026-09-09,MPC,MPC,16.00,必须,10.0000,--
198542851,2026-09-09,2026-09-09,MGY,MGY,151.00,必须,10.0000,--
198542850,2026-09-09,2026-09-09,KOS,KOS,834.00,必须,10.0000,--
198542849,2026-09-09,2026-09-09,GPRE,GPRE,110.00,必须,10.0000,--
198542848,2026-09-09,2026-09-09,GPOR,GPOR,22.00,必须,10.0000,--
198542847,2026-09-09,2026-09-09,GEVO,GEVO,444.00,必须,10.0000,--
198542846,2026-09-09,2026-09-09,FANG,FANG,21.00,必须,10.0000,--
198542845,2026-09-09,2026-09-09,EXE,EXE,47.00,必须,10.0000,--
198542844,2026-09-09,2026-09-09,EQT,EQT,80.00,必须,10.0000,--
198542843,2026-09-09,2026-09-09,EOG,EOG,30.00,必须,10.0000,--
198542842,2026-09-09,2026-09-09,EGY,EGY,147.00,必须,10.0000,--
198542841,2026-09-09,2026-09-09,DVN,DVN,90.00,必须,10.0000,--
198542840,2026-09-09,2026-09-09,DK,DK,85.00,必须,10.0000,--
198542839,2026-09-09,2026-09-09,DINO,DINO,59.00,必须,10.0000,--
198542838,2026-09-09,2026-09-09,DEC,DEC,84.00,必须,10.0000,--
198542837,2026-09-09,2026-09-09,CVX,CVX,22.00,必须,10.0000,--
198542836,2026-09-09,2026-09-09,CVI,CVI,48.00,必须,10.0000,--
198542835,2026-09-09,2026-09-09,CRK,CRK,118.00,必须,10.0000,--
198542834,2026-09-09,2026-09-09,CRGY,CRGY,358.00,必须,10.0000,--
198542833,2026-09-09,2026-09-09,CRC,CRC,71.00,必须,10.0000,--
198542832,2026-09-09,2026-09-09,COP,COP,35.00,必须,10.0000,--
198542831,2026-09-09,2026-09-09,CNX,CNX,126.00,必须,10.0000,--
198542830,2026-09-09,2026-09-09,CLNE,CLNE,140.00,必须,10.0000,--
198542829,2026-09-09,2026-09-09,CLMT,CLMT,96.00,必须,10.0000,--
198542828,2026-09-09,2026-09-09,CHRD,CHRD,30.00,必须,10.0000,--
198542827,2026-09-09,2026-09-09,BKV,BKV,57.00,必须,10.0000,--
198542826,2026-09-09,2026-09-09,AR,AR,118.00,必须,10.0000,--
198542825,2026-09-09,2026-09-09,APA,APA,110.00,必须,10.0000,--
198542824,2026-09-09,2026-09-09,159900,申赎现金,0.00,必须,0.0000,--
