list_order,code,market,fund_name,latest_updated_prospectus_date,latest_prospectus_any_date,latest_product_summary_date,pcf_asof,pcf_rows,pcf_cash_flag,pcf_has_159900,prospectus_basis,creation_buy_deadline,redemption_sell_deadline,subscription_cash_substitution_mode,subscription_cash_substitution_settlement_time,subscription_fund_units_settlement_time,subscription_fund_units_available_time,cash_difference_announcement_time,cash_difference_clearing_time,cash_difference_settlement_time,subscription_cash_substitution_refund_time,redemption_fund_units_settlement_time,redemption_cash_substitution_mode,redemption_cash_substitution_arrival_time,same_day_netting_basis,nav_calculation_time,nav_announcement_time,nav_price_basis,nav_precision,nav_fx_source,nav_fx_reference_time,nav_fx_currency_scope,nav_fx_fallback,creation_replacement_fx_rule,creation_replacement_fx_source,creation_replacement_fx_reference_time,creation_replacement_fx_currency,redemption_replacement_fx_rule,redemption_replacement_fx_source,redemption_replacement_fx_reference_time,redemption_replacement_fx_currency,cash_substitution_fee_rule,iopv_formula,iopv_price_basis,iopv_fx_source,iopv_fx_reference_time,iopv_publisher,iopv_frequency_precision,rtgs_subscription,rtgs_basis,rtgs_note,same_day_netting_manager,same_day_netting_evidence,cash_difference_schedule,creation_cash_sub_schedule,redemption_cash_sub_schedule,overall_status,evidence_url,prospectus_file,prospectus_text_file,open_question
1,159217,SZ,工银国证港股通创新药ETF,2025-11-28,2025-11-28,2025-11-28,2026-09-09,37,必须,YES,updated,T日内,T日内,日间 RTGS/实时逐笔全额；日间未完成时日终逐笔全额非担保交收,T日日间 RTGS/实时逐笔全额交收；日间未完成时 T日日终交收,T 日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T+2 日,T+2 日,T+6 日（指开放日）内,T 日,代收代付,自有效赎回申请之日起 7 个开放日内,招募书未直接说明,T日收市后计算,收市后；公告时点按基金合同/招募书约定,交易所上市的有价证券的估值 （1）交易所上市的有价证券（包括股票等），以其估值日在证券交易所挂牌的市价（收盘价）估值；估值日无交易的，且最近交易日后经济环境未发生重大变化或证券发行机构未发生影响证券价格的重大事件的，以最近交易日的市价（收盘价）估值；如最近交易日后经济环境发生了重大变化或证券发行机构发生影响证券价格的重大事件的，可参考类似投资品种的现行市价及重大变化因素，调整最近交易市价，确定公允价格。 （2）交易所上市交易或挂牌转让的不含权固定收益品种（另有规定的除外），选取估值日第三方估值基准服务机构提供的相应品种当日的估值全价进行估值。 （3）交易所上市交易或挂牌转让的含权固定收益品种（另有规定的除外），选取估值日第三方估值基准服务机构提供的相应品种当日的唯一估值全价或推荐估值全价进行估值。 （4）交易所市场上市交易的公开发行的可转换债券等有活跃市场的含转股权的债券， 实行全价交易的债券选取估值日收盘价作为估值全价；实行净价交易的债券选取估值日收盘价并加计每百元税前应计利息作为估值全价。 （5）交易所上市不存在活跃市场的有价证券，采用估值技术确定公允价值。交易所市场挂牌转让的资产支持证券，采用估值技术确定公允价值。 （6）对在交易所市场发行未上市或未挂牌转让的债券，对存在活跃市场的情况下，应以活跃市场上未经调整的报价作为估值日的公允价值；对于活跃市场报价未能代表估值日公工银瑞信国证港股通创新药交易型开放式指数证券投资基金更新的招募说明,小数点后4位；第5位四舍五入,招募书未直接说明,待人工复核,原文未明确币种,待人工复核,申购替代金额的处理程序基金管理人在 T 日以收到的替代金额代投资者买入被替代证券。基金管理人有权根据基金投资的需要自主决定不买入部分被替代证券，或者不进行任何买入被替代证券的操作。正常情况下，对于确认成功的 T 日申购申请，基金管理人根据 T 日所购入的被替代证券的实际单位购入成本（包括买入价格与相关费用，折算为人民币）和未买入的被替代证券 T 日收盘价（折算为人民币，被替代证券当日在证券交易所无交易的，取最近交易日的收盘价；交易日无收盘价的，取最后成交价）计算被替代证券的单位结算成本，在此基础上根据替代证券数量和申购替代金额确定基金应退还投资者或投资者应补交的款项。T+6 日（指开放日）内， 基金管理人将应退款或补款的明细及汇总数据发送给登记机构，登记机构办理现金替代多退少补资金的清算，并将结果发送给申购赎回代理券商和结算参与人，由相关申购赎回代理券工银瑞信国证港股通创新药交易型开放式指数证券投资基金更新的招募说明书 31 商和结算参与人办理交收。基金管理人可以对交收日期进行相应调整。 如遇港股通临时停市、港股通交易每日额度等特殊情况，组合证券的代理买入及结算价格可依次顺延至下一港股通交易日直至交易正常。如遇证券长期停牌、流动性不足等可能导致收盘价或最后成交价不公允的特殊情况，可参照证券的估值价格，对结算价格进行调整， 如果基金管理人认为该证券复牌后的价格可能存在较大波动，且可能对基金资产净值产生较大影响，为了更好的维护基金份额持有人利益，该证券对应的现金替代退补款的清算交收可按照其复牌后实际交易成本或者基金管理人认为合理的价格办理。在此期间若该证券发生除息、送股（转增）、配股等重要权益变动，则进行相应调整。 3）赎回替代金额的处理程序基金管理人在 T 日根据赎回申请代投资者卖出被替代证券。基金,原文提到折算汇率，但未抽取出具体来源,原文未明确取价时点,港币/港元折算为人民币,基金管理人可以对交收日期进行相应调整。 如遇港股通临时停市、港股通交易每日额度等特殊情况，组合证券的代理买入及结算价格可依次顺延至下一港股通交易日直至交易正常。如遇证券长期停牌、流动性不足等可能导致收盘价或最后成交价不公允的特殊情况，可参照证券的估值价格，对结算价格进行调整， 如果基金管理人认为该证券复牌后的价格可能存在较大波动，且可能对基金资产净值产生较大影响，为了更好的维护基金份额持有人利益，该证券对应的现金替代退补款的清算交收可按照其复牌后实际交易成本或者基金管理人认为合理的价格办理。在此期间若该证券发生除息、送股（转增）、配股等重要权益变动，则进行相应调整。 3）赎回替代金额的处理程序基金管理人在 T 日根据赎回申请代投资者卖出被替代证券。基金管理人有权根据基金投资的需要自主决定不卖出部分被替代证券，或者不进行任何卖出被替代证券的操作。正常情况下，对于确认成功的 T 日赎回申请，基金管理人根据 T 日所卖出的被替代证券的实际单位卖出金额（扣除相关费用，折算为人民币）和未卖出的被替代证券的 T 日收盘价（折算为人民币，被替代证券当日在证券交易所无交易的，取最近交易日的收盘价；交易日无收盘价的，取最后成交价）计算被替代证券的单位结算金额，在此基础上根据替代证券数量确定赎回替代金额。T+6 日（指开放日）内，基金管理人将应支付的赎回替代金额的明细及汇总数据发送给登记机构，登记机构办理赎回替代金额的清算，并将结果发送给申购赎回代理券商和结算参与人，由与相关申购赎回代理券商和结算参与人办理交收，当交收期间出现港股通交易日为非港股通交收日时，款项交收日期顺延。基金管理人可以对交收日期进行相应调整。 如遇港股通临时停市等特殊情况，组合证券的代理卖出及结算价格可依次顺延至下一港股通交易日直至交易正常。如遇证券长期停牌、流动性不足等可能导致收盘价或最后成交价不公允的特殊情况，可参照证券的估值价格，对结算价格进行调整，如果基金管理人认为该证券复牌后的价格可能存在较大波动，且可能对基金资产净值产生较大影响，为了更好的维护基金份额持有人利益，该证券对应的赎回替代金额的清算交收可按照其复牌后实际交易成本或者基金管理人认为合理的价格办理。在此期间若该证券发生除息、送股（转增）、配股等重要权益变动，则进行相应调整。 4）基金管理人可以根据具体情况，对上述 2）和 3）的申购、赎回替代金额,原文提到折算汇率，但未抽取出具体来源,原文未明确取价时点,港币/港元折算为人民币,申购：实际买入/购入成本包括买入价格与相关费用；赎回：实际卖出金额扣除相关费用,基金份额参考净值=（申购赎回清单中必须用现金替代的替代金额+申购赎回清单中可以用现金替代成份证券的数量与最新成交价的乘积之和+申购赎回清单中的预估现金差额）/ 最小申购赎回单位对应的基金份额（最新成交价按照人民币对港币的汇率调整为人民币价格）,最新成交价；收盘价,汇率公允价包括国证指数有限公司在发布和计算境外指数产品中采用的实时汇率价格、基金管理人与基金托管人商定的其他公允价格（如：中国人民银行或其授权机构最新公布的人民币汇率中间价、中国人民银行或国家外汇管理局或中国外汇交易中心正式对外发文后公布的人民币兑主要外汇当日收盘价）等,当日,基金管理人或其委托机构计算；深圳证券交易所发布,开市后,PASS,fund_document,现金替代、现金差额及其他对价的清算交收适用深圳证券交易所、登记机构的相关规定和参与各方相关协议的有关规定。 本基金现金申购业务中的现金替代采用实时逐笔全额结算（RTGS）与日终逐笔全额非担保交收的方式处理；现金赎回业务涉及的现金替代可采用代收代付处理；现金申购、赎回业务涉及的现金差额和现金替代退补款采用代收代付处理。 工银瑞信国证港股通创新药交易型开放式指数证券投资基金更新的招募说明书 28 投资者 T 日提交的现金申购申请受理后，日间完成 RTGS 交收部分，登记机构在 T 日为该投资者办理基金份额登记以及现金替代的交收；日间未完成 RTGS 交收部分，登记机构在 T 日日终根据勾单情况及资金是否足额为投资者办理基金份额登记与现金替代的交收，并将结果发送给申购赎回代理券商、基金,PENDING,not_found,T+2清算；T+2交收,T 日收盘价（折算为人民币，被替代证券当日在证券交易所无交易的，取最近交易日的收盘价,T 日根据赎回申请代投资者卖出被替代证券,PENDING,"https://fund.eastmoney.com/gonggao/159217,AN202511271789451996.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159217/159217_更新招募说明书_20251128.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159217/159217_更新招募说明书_20251128.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
2,520700,SH,万家中证港股通创新药ETF,2026-01-21,2026-01-21,2026-01-21,2026-09-09,42,必须,NO,updated,T日内,T日内,招募书未直接说明,T 日,T 日,T日（T日日间完成 RTGS）；T+1日（T日日终逐笔全额非担保交收）,T+1日,T+1 日内,T+2 日内,T 日后的 3 个港股通交易日内,T 日,代收代付,自有效赎回申请之日起7 个工作日内,对于 T 日的申购赎回申请，基金管理人有权进行轧差处理，针对净申购， 购入净申购份额对应的组合证券中被替代证券， 针对净赎回， 卖出净赎回份额对应的组合证券中被替代证券， 基金管理人有权购入或者卖出不等于轧差处理万家中证港股通创新药交易型开放式指数证券投资基金更新招募说明书 （2026 年第 1 号） 37 后的上述被替代证券的任意数量,T日收市后计算,T+1日内公告,交易所上市的有价证券的估值 （1） 交易所上市的有价证券 （包括股票等） ， 以其估值日在证券交易所挂牌的市价 （收盘价） 估值； 估值日无交易的， 且最近交易日后经济环境未发生重大变化且证券发行机构未发生影响证券价格的重大事件的，以最近交易日的市价 （收盘价） 估值； 如最近交易日后经济环境发生了重大变化或证券发行机构发生影响证券价格的重大事件的，可参考类似投资品种的现行市价及重大变化因素， 调整最近交易市价，确定公允价格； （2）交易所已上市或已挂牌转让的不含权固定收益品种，选取估值日第三方估值基准服务机构提供的相应品种当日的估值全价进行估值； （3）交易所已上市或已挂牌转让的含权固定收益品种，选取估值日第三方估值基准服务机构提供的相应品种当日的唯一估值全价或推荐估值全价进行估值； （4）交易所已上市或已挂牌转让的含投资者回售权的固定收益品种，行使回售权的， 在回售登记日至实际收款日期间选取第三方估值基准服务机构提供的相应品种的唯一估值全价或推荐估值全价进行估值， 同时充分考虑发行人的信用风险变化对公允价值的影响。 回售登记期截止日 （含当日） 后未行使回售权的按照长待偿期所对应的价格进行估值； （5）交易所上市交易的公开发行的可转换债券等有活跃市场的含转股权的债券， 实行全价交易的债券选取估值日收盘价作为估值全价； 实行净价交易的债券选取估值日收盘价并加计每百元税前应计利息作为估值全价； （6）交易所上市不存在活跃市场的有价证券，采用,小数点后4位；第5位四舍五入,4、法律、行政法规或监管部门取消或变更上述限制，如适用于本基金，基金管理人在履行适当程序后， 则本基金投资不再受相关限制或以变更后的规定为准。 五、业绩比较基准本基金的业绩比较基准为标的指数收益率， 即中证港股通创新药指数收益率万家中证港股通创新药交易型开放式指数证券投资基金更新招募说明书 （2026 年第 1 号） 50 （经估值汇率调整）。 本基金以“紧密跟踪标的指数， 追求跟踪偏离度和跟踪误差的最小化”作为投资目标， 在投资中将不低于基金资产净值90%的资产投资于标的指数成份股及备选成份股， 因此选取中证港股通创新药指数收益率作为业绩比较基准， 能够比较真实、客观地反映本基金的风险收益特征。 未来若出现标的指数不符合法律法规及监管要求 （因成份股价格波动等指数编制方法变动之外的因素致使标的指数不符合要求的情形除外） 、指数编制机构退出等情形， 基金管理人应当自该情形发生之日起十个工作日向中国证监会报告并提出解决方案， 如更换基金标的指数、 转换运作方式、 与其他基金合并、 或者终止基金合同等， 并在6 个月内召集基金份额持有人大会进行表决， 基金份额持有人大会未成功召开或就上述事项表决未通过的，基金合同终止。 自指数编制机构停止标的指数的编制及发布至解决方案确定期间， 基金管理人应按照指数编制机构提供的最近一个交易日的指数信息遵循基金份额持有人利益优先原则维持基金投资运作。 若基金标的指数发生变更（包括但不限于指数编制单位更名、 指数更名等事项），基金业绩比较基准随之变更，基金管理人可依据维护基金份额持有人合法权益的原则， 根据投资情况和市场惯例调整基金业绩比较基准， 无需召开基金份额持有人大会。 法律法规或监管机构另有规定的，从其规定。 六、风险收益特征本基金为股票型基金，其长期平均风险和预期收益率理论上高于混合型基金、债券型基金和货币市场基金。 本基金为指数型基金， 主要采用完全复制法跟踪中证港股通创新药指数， 其风险收益特征与标的指数所表征的市场组合的风险收益特征相似。 本基金可投资于港股通标的股票， 会面临港股通机制下因投资环境、 投资标的、 市场制度以及交易规则等差异带来的特有风险， 包括港股市场股价波动较大的风险、汇率风险、港股通机制下交易日不连贯可能带来的风险等。 七、基金管理人代表基金行使股东或债权人权利的处理原则及方法,原文未明确取价时点,原文未明确币种,原文未明确备用汇率处理,申购现金替代保证金的处理程序 T 日，基金管理人在申购赎回清单中公布现金替代溢价比例，并据此收取申购现金替代保证金。 正常情况下，基金管理人在 T 日以收到的替代金额代投资者买入被替代证万家中证港股通创新药交易型开放式指数证券投资基金更新招募说明书 （2026 年第 1 号） 35 券。 基金管理人有权在T 日内任意时刻， 以收到的申购替代金额代投资者购入组合证券中被替代证券的任意数量。对于确认成功的T 日申购申请，T 日终，基金管理人根据所购入的被替代组合证券的实际单位购入成本 （包括买入价格与相关费用，折算为人民币，折算汇率采用当天的港股通结算汇兑比率） 、未购入的被替代组合证券的T 日收盘价 （折算为人民币， 折算汇率采用当天的估值汇率； 被替代组合证券T 日无交易的， 取最近交易日的收盘价； 交易日无收盘价的， 取最后成交价） 计算并确定被替代组合证券的单位结算成本， 在此基础上根据替代组合证券数量和申购现金替代保证金确定基金应退还投资人的款项或投资人应补交的款项。 未购入部分包含因申购赎回轧差处理而未实际购入的申购申请对应的被替代组合证券。 未来基金管理人有权视产品运行情况， 经与基金托管人协商一致，对折算汇率和未购入被替代证券的计算价格进行调整，并提前公告。 正常情况下，T 日后的 3 个港股通交易日内，基金管理人将应退款或补款与相关申购赎回代理券商办理交收。 当交收期间出现港股通交易日为非港股通交收日时， 款项交收日期可以相应顺延。 若发生特殊情况， 基金管理人可以对交收日期进行相应调整。 如遇港股通临时停市、 港股通交易每日额度或总额度不足等特殊情况， 基金管理人可考虑根据实际情况将组合证券的代理买入及结算价格可依次顺延至下一港股通交易日直至交易正常。 如遇证券长期停牌、 流动性不足等可能导致收盘价或最后成交价不公允的特殊情况， 可参照证券的估值价格， 对结算价格进行调整， 如果基金管理人认为该证券复牌后的价格可能存在较大波动， 且可能对基金资产净值产生较大影响， 为了更好的维护,折算汇率采用当天的港股通结算汇兑比率） 、未购入的被替代组合证券的T 日收盘价 （折算为人民币， 折算汇率采用当天的估值汇率,当天,港币/港元折算为人民币,赎回替代金额的处理程序正常情况下， 基金管理人在T 日根据赎回申请代投资者卖出被替代证券。 基金管理人有权在 T 日内任意时刻代投资者卖出组合证券中被替代证券的任意数量。对于确认成功的T 日赎回申请，T 日内基金管理人根据所卖出的被替代组合证券的实际单位卖出所得 （扣除相关费用， 折算为人民币， 折算汇率采用当天的港股通结算汇兑比率） 、 未卖出的被替代组合证券的T 日收盘价 （折算为人民币， 万家中证港股通创新药交易型开放式指数证券投资基金更新招募说明书 （2026 年第 1 号） 36 折算汇率采用当天的估值汇率； 被替代组合证券T 日无交易的， 取最近交易日的收盘价； 交易日无收盘价的， 取最后成交价） 计算并确定被替代组合证券的单位结算成本， 在此基础上根据替代组合证券数量确定赎回替代金额。 未卖出部分包含因申购赎回轧差处理而未实际卖出的赎回申请对应的被替代组合证券。 。未来基金管理人有权视产品运行情况， 经与基金托管人协商一致， 对折算汇率和计未卖出被替代证券的计算价格进行调整，并提前公告。 正常情况下，T 日后的第 2 个港股通交收日后的第 2 个工作日内，基金管理人将应支付的赎回替代金额与相关申购赎回代理机构办理交收。 当交收期间出现港股通交易日为非港股通交收日时， 款项交收日期顺延。 若发生特殊情况， 基金管理人可以对交收日期进行相应调整。 如遇港股通临时停市等特殊情况， 组合证券的代理卖出及结算价格可依次顺延至下一港股通交易日直至交易正常。 如遇证券长期停牌、 流动性不足等可能导致收盘价或最后成交价不公允的特殊情况， 可参照证券的估值价格， 对结算价格进行调整， 如果基金管理人认为该证券复牌后的价格可能存在较大波动， 且可能对基金资产净值产生较大影响， 为了更好的维护持有人利益， 该证券对应的现金替代款的清算交收可在其复牌后按照实际交易成本办理,折算汇率采用当天的港股通结算汇兑比率） 、 未卖出的被替代组合证券的T 日收盘价 （折算为人民币， 万家中证港股通创新药交易型开放式指数证券投资基金更新招募说明书 （2026 年第 1 号） 36 折算汇率采用当天的估值汇率,当天,港币/港元折算为人民币,申购：实际买入/购入成本包括买入价格与相关费用,基金份额参考净值＝ （申购赎回清单中必须现金替代的替代金额+申购赎回清单中可以现金替代成份证券的数量、 最新成交价与汇率公允价相乘之和+申购赎回清单中的预估现金部分）/最小申购、赎回单位对应的基金份额,组合证券实时成交数据；最新成交价,汇率公允价包括指数公司在发布和计算境外指数产品中采用的实时汇率价格、基金管理人审慎决定的其他公允价格等,实时汇率数据,基金管理人或其委托机构计算；深圳证券交易所发布,开市后；四舍五入保留小数点后4位,PASS,fund_document,的“风险揭示”部分。 根据本基金现行适用的清算交收和申赎处理规则， 投资者当日申购的基金份额，清算交收完成后方可卖出和赎回，即 T 日申购的基金份额且日间完成 RTGS （实时逐笔全额结算）交收，T 日可卖出和赎回，而T 日申购的基金份额且日终完成逐笔全额非担保交收，T+1 日方可卖出和赎回；T 日竞价买入的基金份额，T 日可以赎回和卖出。 投资者投资于本基金前请认真阅读证券交易所及登记机构的相关业务规则及其不时的更新， 确保具备相关专业知识、 清楚了解相关规则流程后方可参与本基金的认购、申购、赎回及交易。投资者一旦认购、申购或赎回本基金，即表示对基金认购、 申购和赎回所涉及的基金份额的证券变更登记方式以及申购赎回所涉及现金替代、现金差额等相关的交收方式已经认可。 基金管理人提醒,PASS,fund_specific_explicit,T+1清算；T+2交收,T 日后的 3 个港股通交易日内，基金管理人将应退款或补款与相关申购赎回代理券商办理交收,T 日根据赎回申请代投资者卖出被替代证券,PASS,"https://fund.eastmoney.com/gonggao/520700,AN202601201818162183.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520700/520700_更新招募说明书_20260121.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520700/520700_更新招募说明书_20260121.txt,
3,159365,SZ,富国恒指港股通ETF,2026-08-27,2026-08-27,2026-08-27,2026-09-09,88,必须,YES,updated,T日内,T日内,招募书未直接说明,T 日,T 日,T日（T日日间完成 RTGS）；T+1日（T日日终逐笔全额非担保交收）,T+1日,T+1 日,T+2 日,T 日后的 5 个工作日内,T 日,代收代付,T 日后的第 4 个港股通交收日后的 1 个工作日内,招募书未直接说明,T日收市后计算,T+1日内公告,交易所上市的有价证券 （包括股票等） ， 以其估值日在证券交易所挂牌的市价 （收盘价） 估值；估值日无交易的， 且最近交易日后经济环境未发生重大变化且证券发行机构未发生影响证券价格的重大事件的， 以最近交易日的市价 （收盘价） 估值； 如最近交易日后经济环境发生了重大变化或证券发行机构发生影响证券价格的重大事件的， 可参考类似投资品种的现行市价及重大变化因素， 调整最近交易市价，确定公允价格。 2、处于未上市期间以及流通受限的有价证券应区分如下情况处理： （1）送股、转增股、配股和公开增发的新股，按估值日在证券交易所挂牌的同一股票的估值方法估值； 该日无交易的， 以最近一日的市价 （收盘价） 估值； （2）首次公开发行未上市的股票，采用估值技术确定公允价值； （3）流通受限股票，包括非公开发行股票、首次公开发行股票时公司股东公开发售股份、 通过大宗交易取得的带限售期的股票等 （不包括停牌、 新发行未上市、回购交易中的质押券等流通受限股票） ，按监管机构或行业协会有关规定确定公允价值。 3、对于已上市或已挂牌转让的不含权固定收益品种，选取第三方估值基准服务机构提供的相应品种当日的估值全价进行估值。 4、对于已上市或,小数点后4位；第5位四舍五入,3、业绩比较基准本基金的业绩比较基准为恒指港股通指数收益率（使用估值汇率折算） 。 若基金标的指数发生变更， 基金业绩比较基准随之变更， 由基金管理人根据标的指数变更情形履行对应适当程序， 并在调整实施前依照 《信息披露办法》 的有关规定在中国证监会规定媒介上刊登公告。 六、 风险收益特征本基金属于股票型基金， 预期风险与预期收益高于混合型基金、 债券型基金与货币市场基金。 本基金主要投资于标的指数成份股及备选成份股， 具有与标的指数相似的风险收益特征。 本基金投资港股通标的股票， 将承担港股通机制下因投资环境、投资标的、市场制度以及交易规则等差异带来的特有风险。 招募说明书（更新） 68 七、 基金管理人代表基金行使股东或债权人权利的处理原则及方法,原文未明确取价时点,原文未明确币种,原文未明确备用汇率处理,申购替代金额的处理程序对于确认成功的 T 日申购申请，T 日内基金管理人根据申购规模进行组合证券的代理买入。 基金管理人有权根据基金投资的需要自主决定不买入部分被替代证券，或者不进行任何买入证券的操作。T 日日终，基金管理人根据所购入的被替代组合证券的实际单位购入成本、 实际购入的相关费用 （实际购入金额根据港股通相关业务规则按当天的港股通卖出结算汇兑比率结算为人民币） 、未购入的被替代组合证券的 T 日收盘价 （折算为人民币， 折算汇率采用基金管理人和基金托管人商定的汇率公允价， 包括中国外汇交易中心公布的北京时间16:00 参考汇率、 港股通买入结算汇兑比率和卖出结算汇兑比率的算术平均值、 中国人民银行或其授权机构公布的人民币汇率中间价、与基金托管人商定的其他公允价格等； 被替代组合证券 T 日无交易的， 取最近交易日的收盘价； 交易日无收盘价的， 取最后收盘价） 计算并确定被替代组合证券的单位结算成本， 在此基础上根据替代组合证券数量和申购现金替代保证金确定基金应退还投资人的款项或投资人应补交的款项。 若发生特殊情况， 包括如遇港股通结算异常等， 基金管理人可以对折算汇率和结算成本进行相应调整。T 日后的 5 个工作日内， 基金管理人将应退款或补款与相关申购赎回代理机构办理交收。 若发生特殊情况， 基金管理人可以对交收日期进行相应调整。 如遇港股通临时停市、 港股通交易每日额度或总额度不足等特殊情况， 组合证券的代理买入及结算价格可依次顺延至下一港股通交易日直至交易正常。 如遇招募说明书（更新） 50 证券长期停牌、流动性不足等可能导致收盘价或最后成交价不公允的特殊情况， 可参照证券的估值价格， 对结算成本进行调整。 如果基金管理人认为该证券复牌后的价格可能存在较大波动， 且可,折算汇率采用基金管理人和基金托管人商定的汇率公允价， 包括中国外汇交易中心公布的北京时间16:00 参考汇率、 港股通买入结算汇兑比率和卖出结算汇兑比率的算术平均值、 中国人民银行或其授权机构公布的人民币汇率中间价、与基金托管人商定的其他公允价格等,北京时间16:00,港币/港元折算为人民币,对交收日期进行相应调整。 如遇港股通临时停市、 港股通交易每日额度或总额度不足等特殊情况， 组合证券的代理买入及结算价格可依次顺延至下一港股通交易日直至交易正常。 如遇招募说明书（更新） 50 证券长期停牌、流动性不足等可能导致收盘价或最后成交价不公允的特殊情况， 可参照证券的估值价格， 对结算成本进行调整。 如果基金管理人认为该证券复牌后的价格可能存在较大波动， 且可能对基金资产净值产生较大影响， 为了更好的维护持有人利益， 该证券对应的现金替代款的清算交收可在其复牌后按照实际交易成本办理。 在此期间若该证券发生除息、 送股 （转增） 、 配股等重要权益变动， 则进行相应调整。 ④赎回替代金额的处理程序对于确认成功的 T 日赎回申请，T 日内基金管理人根据赎回规模进行组合证券的代理卖出。 基金管理人有权根据基金投资的需要自主决定不卖出部分被替代证券， 或者不进行任何卖出证券的操作。T 日内基金管理人根据所卖出的被替代组合证券的实际单位卖出金额、 实际卖出的相关费用（实际卖出金额根据港股通相关业务规则按当天的港股通买入结算汇兑比率结算为人民币）、未卖出的被替代组合证券的 T 日收盘价 （折算为人民币， 折算汇率采用基金管理人和基金托管人商定的汇率公允价，包括中国外汇交易中心公布的北京时间 16:00 参考汇率、 港股通买入结算汇兑比率和卖出结算汇兑比率的算术平均值、 中国人民银行或其授权机构公布的人民币汇率中间价、 与基金托管人商定的其他公允价格等； 被替代组合证券 T 日无交易的， 取最近交易日的收盘价； 交易日无收盘价的， 取最后收盘价） 计算并确定被替代组合证券的单位结算金额， 在此基础上根据替代组合证券数量确定赎回替代金额。若发生特殊情况， 包括如遇港股通结算异常等， 基金管理人可以对折算汇率和结算金额进行相应调整。T 日后的第 4 个港股通交收日后的 1 个工作日内， 基金管理人将应支付的赎回现金替代款与相关申购赎回代理机构办理交收。若发生特殊情况，基金管理人可以对交收日期进行相应调整。 如遇港股通临时停市等特殊情况， 组合证券的代理卖出及结算价格可依次顺延至下一港股通交易日直至交易正常。 如遇证券长期停牌、 流动性不足等可能导致收盘价或最后成交价不公允的特殊情况， 可参照证券的估值价格， 对结算价格进行调整。 如果基金管理人认为该证券复牌后的价格可能存在,折算汇率采用基金管理人和基金托管人商定的汇率公允价，包括中国外汇交易中心公布的北京时间 16:00 参考汇率、 港股通买入结算汇兑比率和卖出结算汇兑比率的算术平均值、 中国人民银行或其授权机构公布的人民币汇率中间价、 与基金托管人商定的其他公允价格等,北京时间 16:00,港币/港元折算为人民币,原文涉及相关费用，具体计入/扣除方式待人工复核,基金份额参考净值＝ （申购赎回清单中必须用现金替代的成份证券的必须替代金额之和+申购赎回清单中可以用现金替代的成份证券的数量与最新成交价乘积之和+申购赎回清单中的预估现金差额） /最小申购赎回单位对应的基金份额,组合证券实时成交数据；最新成交价；收盘价,汇率公允价包括中证指数有限公司在发布和计算境外指数产品中采用的实时汇率价格、 基金管理人审慎决定的其他公允价格 （如： 中国人民银行或国家外汇管理局或中国外汇交易中心正式对外发文后公布的人民币兑主要外汇当日收盘价， 如上述机构未正式发文规定公布上述收盘价，则为中国人民银行或其授权机构最新公布的人民币汇率中间价） 等,当日,基金管理人或其委托机构计算；深圳证券交易所发布,交易时间内；四舍五入保留小数点后4位,PASS,fund_document,份额持有人大会审议。 根据本基金现行适用的清算交收和申赎处理规则， 投资者当日申购的基金份额，清算交收完成后方可卖出和赎回，即 T 日申购的基金份额且日间完成 RTGS （实时逐笔全额结算）交收的，T 日可卖出和赎回，而T 日申购的基金份额且日终完成逐笔全额非担保交收的，T+1 日方可卖出和赎回；T 日竞价买入的基金份额，T 日可以卖出或赎回；T 日大宗买入的基金份额，T 日可以大宗卖出，T+1 日可以竞价卖出或赎回。 投资有风险， 投资者认购 （或申购） 基金时应认真阅读本招募说明书、 基金合同、 基金产品资料概要等信息披露文件， 自主判断基金的投资价值， 自主做出投资决策，自行承担投资风险。基金管理人提醒投资者基金投资的“买者自负” 原则， 在投资者作出投资决策后， 基金运营,PENDING,not_found,T+2清算；T+2交收,T 日后的 5 个工作日内， 基金管理人将应退款或补款与相关申购赎回代理机构办理交收,T 日赎回申请，T 日内基金管理人根据赎回规模进行组合证券的代理卖出,PENDING,"https://fund.eastmoney.com/gonggao/159365,AN202608261828488592.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159365/159365_更新招募说明书_20260827.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159365/159365_更新招募说明书_20260827.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
