date,stock_count,stock_HKD,fx,est_cash_CNY,final_cash_CNY,reconstructed_NAV,official_NAV,error_CNY_per_basket,ETF_close,expost_premium,shares_wan,net_baskets
2026-08-28,17,1104381.35,0.86498,9491.47,9487.25,1.929510060246,1.92951004,0.010123000014573336,1.91,-0.010111395947957957,980998.8,
2026-08-31,17,1101569.69,0.8651,9478.68,8997.0,1.9239298776379998,1.9239298999999999,-0.011181000038050115,1.894,-0.01555664787994615,979048.8,-39.0
2026-09-01,17,1100519.11,0.86498,9734.62,9249.18,1.9223523995356002,1.9223523999999999,-0.00023219978902488947,1.903,-0.010067040777747005,978448.8,-12.0
2026-09-02,17,1071234.23,0.86497,9627.73,9657.17,1.8724852838462,1.87248528,0.0019230999751016498,1.852,-0.010940155428084242,978198.8,-5.0
2026-09-03,17,1080798.43,0.86476,9436.4,9418.27,1.8880990406535998,1.88809904,0.00032679992727935314,1.871,-0.009056219847450309,976898.8,-26.0
2026-09-04,17,1101943.535,0.86458,9488.02,9454.88,1.9243464429805999,1.9243464399999999,0.0014902999391779304,1.907,-0.009014198087949232,971248.8,-113.0
2026-09-07,17,1080929.1,0.86465,9689.65,9634.95,1.8885205926300002,1.88852058,0.006315000005997717,1.879,-0.005041290045142088,970998.8,-5.0
2026-09-08,17,1054667.005,0.86482,9547.19,9564.08,1.8433223985282,1.84332244,-0.020735900034196675,1.846,0.0014525727793994747,970148.8,-17.0
