horizon,model,days,samples,target_std_bps,residual_std_bps,variance_reduction,residual_mean_bps,upside_es95_bps,downside_es95_bps,abs_p95_bps,variance_reduction_ci95
5,02800,37,4255,14.4522440753541,12.789217777805431,0.2168996998995022,-0.2371273234844159,29.48442452699892,27.212861444098472,26.115095118354425,
5,02828,37,4255,14.4522440753541,10.51345200987918,0.4707996797973999,-0.14451808849631823,23.321522571259504,24.09666942097213,21.637395840459966,
5,02845,37,4255,14.4522440753541,14.237499392216971,0.02949704494385408,-0.14580196196544337,32.4712365899447,30.137634164506395,28.542126370645185,
5,03032,37,4255,14.4522440753541,9.556690659673407,0.562735235972454,0.07067945477646649,21.791519690378315,20.12948127760289,19.414616083693726,
5,03033,37,4255,14.4522440753541,9.836893092125141,0.5367181054256951,0.07988916090864821,21.874481053668177,21.297152920098853,19.516776759991554,
5,HHI_FUT,37,4255,14.4522440753541,10.293631631021741,0.49269788847318874,-0.11530694883915285,22.653092465821853,22.764059352163848,20.873237490863154,
5,HHI_HTI_fixed_pair,37,4255,14.4522440753541,9.870169523696745,0.5335784060282515,-0.022256096668663124,22.086246512574352,21.397363858847292,19.798807765496544,
5,HSI_FUT,37,4255,14.4522440753541,10.361307430603775,0.4860054137645815,-0.2362586058519839,22.76766351613456,22.96597383657382,20.895751005212265,
5,HTI_FUT,37,4255,14.4522440753541,10.102050261292087,0.5114056113825725,0.06201046097659704,22.835896852964904,21.512280339064638,20.092310853867904,
5,no_hedge,37,4255,14.4522440753541,14.4522440753541,0.0,-0.16812917106154796,33.40301025294579,30.227849829858894,29.00775551470591,
5,selected,37,4255,14.4522440753541,9.278325959871696,0.5878373092539894,-0.01730229109478033,20.940203311209967,20.23347542830677,18.848304704386923,"[0.5396792788452797, 0.6303100298429276]"
15,02800,37,3885,25.807951115470733,19.783290638649262,0.4123888773395168,-0.6579283354885621,43.41803392321112,43.084497961133714,40.763332998667074,
15,02828,37,3885,25.807951115470733,16.980921790148987,0.5670722058243964,-0.398518463084464,36.761677214929634,37.85464448289194,34.11569878665436,
15,02845,37,3885,25.807951115470733,24.91869117115976,0.06772636891404449,0.08426907588937983,54.37515628309661,51.72971584897496,49.20652109283717,
15,03032,37,3885,25.807951115470733,14.984537570612176,0.6628837905215486,0.41841911814597216,33.914973035265646,31.13286041448572,30.270602098533438,
15,03033,37,3885,25.807951115470733,15.285616197672686,0.6492005960548766,0.43286793903487014,34.771235059637185,31.780415531946698,31.131295075184653,
15,HHI_FUT,37,3885,25.807951115470733,16.131794278600022,0.6092866098636156,-0.2245756265161304,34.8030268372533,35.04472979707876,31.653129393880313,
15,HHI_HTI_fixed_pair,37,3885,25.807951115470733,14.875180975554269,0.6677863586153948,0.16244581586402895,33.185163600611894,31.172839973800194,29.437943277534245,
15,HSI_FUT,37,3885,25.807951115470733,16.398181686178813,0.5962762179528046,-0.5480727336449273,35.342404722059975,35.556806747970725,32.19502374674922,
15,HTI_FUT,37,3885,25.807951115470733,15.311494358773844,0.6480118015933587,0.4131532604844926,34.60821074689317,31.491450645760917,30.91198374619357,
15,no_hedge,37,3885,25.807951115470733,25.807951115470733,0.0,-0.4770227503411406,57.97669911886287,53.18393011120985,53.16524705538624,
15,selected,37,3885,25.807951115470733,14.798663210473649,0.6711953745702719,-0.05254213527183389,32.61859237734549,31.874679223339776,29.535429644686573,"[0.6091165657225744, 0.7277752622331966]"
30,02800,37,3330,36.90716512417621,24.74643411029799,0.550423213614686,-0.9121862613397348,53.721767126661234,52.15353667185916,50.341718798385685,
30,02828,37,3330,36.90716512417621,22.256687375667987,0.6363365324446586,-0.24633512085037018,46.00828677047047,48.10795858749156,44.73106172947052,
30,02845,37,3330,36.90716512417621,34.59803604972383,0.12121726101567831,1.6405799415099362,78.20370687378798,69.09169470358702,70.61094493801484,
30,03032,37,3330,36.90716512417621,19.781131451944027,0.7127362125315164,1.126112122140804,43.5969450830165,38.47334848676228,39.528030929044476,
30,03033,37,3330,36.90716512417621,20.096702809597392,0.7034975784424558,1.184018272558178,44.86600182381142,38.8803534432725,40.33375625448557,
30,HHI_FUT,37,3330,36.90716512417621,21.360271827878226,0.6650405964511136,0.03667928629841958,44.49743077004927,47.078749029594356,44.129056047528366,
30,HHI_HTI_fixed_pair,37,3330,36.90716512417621,19.430026244677897,0.7228432891900547,0.7446437499102002,42.27878314734279,39.371362150917456,39.72972532842263,
30,HSI_FUT,37,3330,36.90716512417621,21.72257698277327,0.653581310670617,-0.6664012588167398,44.93452038352132,46.77961958867893,43.69658582580804,
30,HTI_FUT,37,3330,36.90716512417621,20.029737258782454,0.7054702768836418,1.1225839338653791,44.431714837819875,39.01885304119868,40.4974346199091,
30,no_hedge,37,3330,36.90716512417621,36.90716512417621,0.0,-0.5695191158026407,80.97943010579439,75.64088826438683,75.3568873013646,
30,selected,37,3330,36.90716512417621,19.84339252532745,0.7109250422402013,0.8298003598525858,42.692290471798366,40.232119833427056,40.07527594858182,"[0.6546928612783612, 0.760226895540351]"
60,02800,37,2220,51.511579409134654,30.589139913229634,0.6473654996565044,-0.3979591151449544,63.36294104771645,58.29492926094411,59.69340129083185,
60,02828,37,2220,51.511579409134654,29.572134154942756,0.6704239812066968,0.1947801233535791,57.39371503205915,60.39892419772347,56.82394151452796,
60,02845,37,2220,51.511579409134654,43.23876438137585,0.2954094446991946,6.622857685365757,108.9553905004594,69.9420429594971,94.93953982525179,
60,03032,37,2220,51.511579409134654,27.71357330918822,0.7105488229344279,3.6833289254776975,62.85057802889328,46.082885689037596,56.24445565908966,
60,03033,37,2220,51.511579409134654,27.873104789472944,0.7072068157138477,3.7303156248591285,63.94527972306747,47.49453101493853,56.15177839532751,
60,HHI_FUT,37,2220,51.511579409134654,28.94357041746749,0.6842855386458595,0.8965991107848132,58.62396940092274,58.77227822469229,56.18756096571312,
60,HHI_HTI_fixed_pair,37,2220,51.511579409134654,26.99032392046362,0.7254594741212659,2.3754517419282664,59.88309289111154,50.02906817761347,52.49618530890593,
60,HSI_FUT,37,2220,51.511579409134654,28.5185307779184,0.6934900599033381,-0.40135665644987656,60.11115289937222,57.098900016228264,56.777020696525206,
60,HTI_FUT,37,2220,51.511579409134654,28.006059769237243,0.7044069011439446,3.626948184677667,63.48257459539851,46.579889652957455,55.89543067133609,
60,no_hedge,37,2220,51.511579409134654,51.511579409134654,0.0,0.629415287135159,111.7004771148604,93.87726693552911,99.2485968779647,
60,selected,37,2220,51.511579409134654,28.725592645412856,0.6890230048607165,4.046178966945604,64.79826537835349,48.35494109801629,54.156345788164906,"[0.5614759394932377, 0.767371484934937]"
