horizon,scenario,model,days,samples,target_std_bps,residual_std_bps,variance_reduction,residual_mean_bps,upside_es95_bps,downside_es95_bps,abs_p95_bps,first_oos,last_oos
5,fresh_endpoint_2%_evaluation_subset,selected,37,1527,14.543942831116492,8.877268657136321,0.6274415576588295,0.13338337104130937,20.01856572914254,19.033878976184333,17.75896884003539,,
5,fresh_endpoint_2%_evaluation_subset,HHI_HTI_fixed_pair,37,1527,14.543942831116492,9.412614982411865,0.5811521683842988,0.2197723511217977,21.30807223489821,19.815241727491,18.732196112820517,,
5,fresh_endpoint_2%_evaluation_subset,HTI_FUT,37,1527,14.543942831116492,9.655911873113578,0.5592196054606793,0.3590894667043771,22.30413069941012,19.784975667014297,18.60876394767727,,
5,fresh_endpoint_5%_evaluation_subset,selected,37,2448,14.907971900195841,9.145887806061866,0.6236303388255635,0.05871950573850305,20.032409674774748,19.844790883591138,18.16590255928847,,
5,fresh_endpoint_5%_evaluation_subset,HHI_HTI_fixed_pair,37,2448,14.907971900195841,9.773031821190923,0.5702444493065979,0.05934224037529714,21.388141962770405,20.923146378671525,19.140348884962968,,
5,fresh_endpoint_5%_evaluation_subset,HTI_FUT,37,2448,14.907971900195841,10.043211241355321,0.5461544684479909,0.1499226203923576,22.273900281678088,21.060041838945974,19.643847866456543,,
5,hedge_timestamp_shift_-1m_frozen_weights,selected,37,4218,14.479618494832149,11.453659081363917,0.3742883145758479,-0.06850758473369359,26.016465617247725,24.512918934544828,23.2970433417206,,
5,hedge_timestamp_shift_-1m_frozen_weights,HHI_HTI_fixed_pair,37,4218,14.479618494832149,12.25643195254208,0.283503822036988,-0.0661855912926618,27.78628170444456,26.257891145242294,25.100740806255956,,
5,hedge_timestamp_shift_+1m_frozen_weights,selected,37,4218,14.408771292845804,9.467091488084046,0.5683027797069409,0.04366749735156002,21.136392277458043,20.39412549612554,18.70115327772763,,
5,hedge_timestamp_shift_+1m_frozen_weights,HHI_HTI_fixed_pair,37,4218,14.408771292845804,8.775355747940349,0.6290840004046688,0.04565130620305154,19.61969518758168,19.316548841138392,17.662767308187505,,
5,fresh_2pct_refit,selected,37,1527,14.543942831116492,8.657056974682844,0.6456958543565494,0.21659196204105186,19.38502673395391,18.4740195096084,17.3556663339499,20260610,20260803
5,fresh_2pct_refit,HHI_HTI_fixed_pair,37,1527,14.543942831116492,9.384760290951562,0.5836274877897418,0.2048610036990268,21.139385442472662,19.793567741180777,18.683933607685113,20260610,20260803
5,fresh_2pct_refit,HTI_FUT,37,1527,14.543942831116492,9.613026163031153,0.5631262695275214,0.35326688870887113,22.05772257201049,19.759336638346415,18.5634471157656,20260610,20260803
5,exclude_suspended_days_refit,selected,18,2070,14.934213923081499,8.91239000874224,0.6438576417357678,0.3315583435429401,20.49031811595864,19.100701638686918,18.03713069701688,20260709,20260803
5,exclude_suspended_days_refit,HHI_HTI_fixed_pair,18,2070,14.934213923081499,9.671330673208947,0.5806199868062554,0.32858483673946537,21.938591507576138,20.964066560012068,19.66741969949555,20260709,20260803
5,exclude_suspended_days_refit,HTI_FUT,18,2070,14.934213923081499,9.810113237615193,0.5684975113232675,0.5388344650279778,22.58980518494352,20.704999318395412,19.663478173696788,20260709,20260803
