horizon,test_date,fit_start,inner_fit_end,validation_start,train_end,train_rows,test_rows,selection_score,alpha,legs,HSI_FUT,HHI_FUT,HTI_FUT,02800,02828,03032,03033,02845,fixed_pair_HHI_beta,fixed_pair_HTI_beta
5,20260716,20260414,20260630,20260702,20260715,6900,115,0.001405413467181169,0.0,HSI_FUT+03032,0.5064881892817972,0.0,0.0,0.0,0.0,0.34778675462271685,0.0,0.0,0.43584669398873177,0.33678702927843535
5,20260717,20260415,20260702,20260703,20260716,6900,115,0.001410912635900034,0.0,HSI_FUT+03033,0.5570199288640312,0.0,0.0,0.0,0.0,0.0,0.34461083298408185,0.0,0.4381657452854714,0.3331185723025252
5,20260720,20260416,20260703,20260706,20260717,6900,115,0.0013901464312058415,0.0,HHI_FUT+03033,0.0,0.5168708816925,0.0,0.0,0.0,0.0,0.3423106880350831,0.0,0.4337980987712732,0.3407994911041696
5,20260721,20260417,20260706,20260707,20260720,6900,115,0.0014356060125352492,0.0,HHI_FUT+03033,0.0,0.5107299065182095,0.0,0.0,0.0,0.0,0.35050833635834955,0.0,0.43326495608481147,0.3442251463953424
5,20260722,20260420,20260707,20260708,20260721,6900,115,0.0014420038037215536,0.0,HHI_FUT+03033,0.0,0.504352291074665,0.0,0.0,0.0,0.0,0.35612024527139985,0.0,0.4152803863110518,0.3573099286948304
5,20260723,20260421,20260708,20260709,20260722,6900,115,0.001428409872090369,0.0,HHI_FUT+03033,0.0,0.5013105424313539,0.0,0.0,0.0,0.0,0.3592609987698094,0.0,0.4125387911491511,0.3603161029121045
5,20260724,20260422,20260709,20260710,20260723,6900,115,0.0013669271238597649,0.0,HHI_FUT+03033,0.0,0.500906092497898,0.0,0.0,0.0,0.0,0.3564056927516605,0.0,0.41074032679286965,0.3586585599228909
5,20260727,20260423,20260710,20260713,20260724,6900,115,0.0013401495259029212,0.0,HHI_FUT+03033,0.0,0.4997801559139963,0.0,0.0,0.0,0.0,0.3567235127178675,0.0,0.41193722164352625,0.3577130143169161
5,20260728,20260424,20260713,20260714,20260727,6900,115,0.0012928654104107649,0.0,02828+03032,0.0,0.0,0.0,0.0,0.3865771433355199,0.41885078619021515,0.0,0.0,0.4129128087767155,0.3565291098189956
5,20260729,20260427,20260714,20260715,20260728,6900,115,0.0011907722128431343,0.0,02828+03033,0.0,0.0,0.0,0.0,0.4395077602210147,0.0,0.3886813722398616,0.0,0.4111167644446566,0.3566167815816554
5,20260730,20260428,20260715,20260716,20260729,6900,115,0.0012304452831461493,0.0,02828+03033,0.0,0.0,0.0,0.0,0.43647726493307315,0.0,0.3907673595592142,0.0,0.40196199501028845,0.3616466760893254
5,20260731,20260429,20260716,20260717,20260730,6900,115,0.0012272733649404564,0.0,02828+03032,0.0,0.0,0.0,0.0,0.3757299207047102,0.42729711360391404,0.0,0.0,0.40852114369498405,0.3588516835067374
5,20260803,20260430,20260717,20260720,20260731,6900,115,0.0011886500792075742,0.0,02828+03032,0.0,0.0,0.0,0.0,0.37445692628393185,0.42665285577029866,0.0,0.0,0.40656445289402987,0.35881913018674483
15,20260610,20260303,20260522,20260526,20260609,6300,105,0.002258566223756673,0.1,02828+03032,0.0,0.0,0.0,0.0,0.34226548064458456,0.47923850456266,0.0,0.0,0.37864858822146746,0.48131195075508215
15,20260611,20260304,20260526,20260527,20260610,6300,105,0.002310557010137019,0.0,02828+03032,0.0,0.0,0.0,0.0,0.36403912827272367,0.5039400217675902,0.0,0.0,0.3627629588098694,0.49223019702515625
15,20260612,20260305,20260527,20260528,20260611,6300,105,0.0023832710271718045,0.0,02828+03032,0.0,0.0,0.0,0.0,0.3668679662050984,0.5047097508352915,0.0,0.0,0.3707271964108582,0.49092509388270167
15,20260615,20260306,20260528,20260529,20260612,6300,105,0.0022164113871713667,0.01,03032,0.0,0.0,0.0,0.0,0.0,0.6844926350881998,0.0,0.0,0.37234736441905775,0.483149336463366
15,20260616,20260309,20260529,20260601,20260615,6300,105,0.0021637940209086057,0.0,03032,0.0,0.0,0.0,0.0,0.0,0.6878773031421209,0.0,0.0,0.3952616576087436,0.4674763795880426
15,20260617,20260310,20260601,20260603,20260616,6300,105,0.002153087550931066,0.0,02800+03032,0.0,0.0,0.0,0.10183130781432113,0.0,0.6313584573019202,0.0,0.0,0.43523750782914683,0.43785084052416456
15,20260618,20260316,20260603,20260604,20260617,6300,105,0.0020884413567300282,0.0,02828+03032,0.0,0.0,0.0,0.0,0.3789536842363221,0.4866045321855234,0.0,0.0,0.43778965464670494,0.4395002810698718
