time,stock_HKD,estimate_mid,estimate_08555,ETF
0930,1084192.115,1.8943564297886,1.874147088765,1.876
0931,1078169.94,1.8839402350216,1.86384314734,1.873
0932,1078339.265,1.8842331063145998,1.8641328624149998,1.869
0933,1081202.76,1.8891859218064,1.8690323023600002,1.871
0934,1084233.945,1.8944287806298001,1.8742186598950001,1.875
0935,1081330.76,1.8894073157264,1.86925131036,1.872
0936,1080904.89,1.8886707139395997,1.86852264679,1.871
0937,1081531.495,1.8897545150118003,1.8695947679450002,1.873
0938,1082067.8800000001,1.8906822679632,1.8705125226800001,1.871
0939,1079591.925,1.886399757157,1.866276163675,1.87
0940,1078603.93,1.8846908814851997,1.8645857042299998,1.866
0941,1079218.315,1.8857535463565998,1.8656369169649998,1.867
0942,1079561.72,1.8863475133807999,1.8662244829199999,1.868
0943,1080043.005,1.8871799631681998,1.8670479615549997,1.869
0944,1078899.195,1.8852015836398002,1.865090902645,1.867
0945,1079350.725,1.885982567989,1.8658634704750001,1.867
0946,1079128.8800000001,1.8855988560032002,1.8654838936800002,1.867
0947,1078891.655,1.8851885421541998,1.865078001705,1.869
0948,1081444.055,1.8896032752902,1.869445158105,1.872
0949,1081279.9,1.8893193462359998,1.8691642888999997,1.871
0950,1082274.005,1.8910387900082,1.8708652025549999,1.874
0951,1081105.19,1.8890171608316,1.8688653600899998,1.871
0952,1080427.085,1.8878442832994,1.8677051224349999,1.871
0953,1081223.4949999999,1.8892217858917997,1.869067779945,1.873
0954,1081654.195,1.8899667418398,1.8698047076450002,1.874
0955,1082098.775,1.8907357051909999,1.8705653840249998,1.873
0956,1081348.695,1.8894383368198,1.869281997145,1.871
0957,1081499.25,1.8896987427699998,1.86953959675,1.872
0958,1080955.785,1.8887587439673996,1.8686097281349998,1.871
0959,1081342.59,1.8894277773676,1.8692715514900002,1.872
1000,1082193.4949999999,1.8908995366917998,1.8707274499449997,1.871
1001,1081521.52,1.8897372618527999,1.86957770072,1.873
1002,1082931.025,1.8921751980809998,1.8719893637749998,1.873
1003,1083128.46,1.8925166895544,1.87232717506,1.873
1004,1082367.545,1.8912005805337997,1.871025249495,1.871
1005,1081786.875,1.890196230475,1.870031723125,1.87
1006,1082485.475,1.8914045569790001,1.8712270277250003,1.871
1007,1081410.77,1.8895457042227999,1.8693882074700001,1.87
1008,1080196.055,1.8874446845701998,1.867309830105,1.868
1009,1080226.4,1.8874971704959997,1.8673617503999997,1.868
1010,1080169.525,1.8873987972209998,1.867264437275,1.869
1011,1080033.23,1.8871630559372,1.86703123653,1.868
1012,1080363.455,1.8877342263062,1.867596251505,1.869
1013,1080189.895,1.8874340299877999,1.867299290345,1.868
1014,1080208.32,1.8874658986048,1.8673308155200001,1.868
1015,1079611.57,1.8864337359348,1.86630977627,1.868
1016,1079741.0999999999,1.8866577762039998,1.8665314021,1.867
1017,1080036.31,1.8871683832284,1.86703650641,1.868
1018,1080376.455,1.8877567116262,1.867618494505,1.868
1019,1079065.5,1.8854892314199998,1.8653754505,1.868
1020,1079991.73,1.8870912758771998,1.86696023003,1.869
1021,1080424.86,1.8878404348504,1.8677013154600002,1.869
1022,1080604.64,1.8881513895295998,1.8680089190399998,1.869
1023,1081400.78,1.8895284251192,1.86937111458,1.868
1024,1080394.165,1.8877873435506,1.867648796315,1.868
1025,1080194.02,1.8874411647528,1.86730634822,1.869
1026,1079814.155,1.8867841350542,1.8666563992049998,1.869
1027,1079870.75,1.88688202403,1.86675323325,1.87
1028,1079944.2,1.887009066088,1.8668789061999997,1.869
1029,1080495.79,1.8879631182156,1.8678226766900001,1.869
1030,1079161.555,1.8856553719901998,1.8655398006049997,1.867
1031,1080097.995,1.8872750760718002,1.8671420494450002,1.869
1032,1080250.06,1.8875380937783999,1.86740223266,1.868
1033,1081239.89,1.8892501433395996,1.8690958317899997,1.869
1034,1080804.21,1.8884965737844,1.86835038331,1.868
1035,1079972.175,1.887057452767,1.8669267714250002,1.868
1036,1079294.325,1.8858850162929999,1.865766970075,1.867
1037,1079282.29,1.8858642000756,1.86574637819,1.868
1038,1079013.04,1.8853984945056002,1.86528569144,1.869
1039,1079621.26,1.8864504961464,1.86632635586,1.869
1040,1080320.125,1.887659281005,1.867522113875,1.869
1041,1080122.3,1.887317114972,1.8671836353,1.869
1042,1079448.4,1.8861515105759998,1.8660305923999998,1.868
1043,1078892.82,1.8851905571848,1.86507999502,1.868
1044,1078668.32,1.8848022530048,1.86469587552,1.869
1045,1079263.49,1.8858316828436,1.86571421139,1.868
1046,1079099.81,1.8855485753684,1.86543415491,1.868
1047,1079220.98,1.8857581558471999,1.8656414767799998,1.867
1048,1079736.84,1.8866504079376,1.8665241132400001,1.868
1049,1079546.255,1.8863207644981999,1.8661980223049999,1.869
1050,1080001.815,1.8871087192966,1.8669774854649999,1.869
1051,1080639.43,1.8882115637052,1.8680684447299998,1.87
1052,1080926.535,1.8887081519973998,1.8685596813849998,1.868
1053,1080750.71,1.8884040380443998,1.86825884481,1.868
1054,1080097.665,1.8872745052906,1.867141484815,1.869
1055,1080231.32,1.8875056803248,1.8673701685200002,1.869
1056,1080065.475,1.887218828179,1.867086407725,1.868
1057,1078990.395,1.8853593268078,1.865246945845,1.868
1058,1079585.2249999999,1.8863881685689998,1.8662646999749997,1.868
1059,1080385.435,1.8877722437934,1.867633859285,1.868
1100,1079919.71,1.8869667072043999,1.86683700381,1.868
1101,1079063.52,1.8854858067328002,1.8653720627200001,1.867
1102,1078856.06,1.8851269756184001,1.86501709866,1.867
1103,1079311.765,1.8859151812145998,1.865796809915,1.868
1104,1079365.925,1.886008858517,1.865889477675,1.867
1105,1079266.405,1.8858367247442,1.865719198955,1.866
1106,1078258.74,1.8840938270536,1.86399508414,1.867
1107,1078259.315,1.8840948215965998,1.8639960679649998,1.867
1108,1078617.69,1.8847146813315998,1.8646092475899998,1.867
1109,1078891.345,1.8851880059658,1.8650774712949998,1.867
1110,1079170.345,1.8856705755258,1.865554840295,1.867
1111,1080293.11,1.8876125547804001,1.86747589121,1.867
1112,1079765.565,1.8867000918466,1.8665732617149997,1.867
1113,1079795.95,1.8867526469579998,1.8666252504499998,1.868
1114,1079246.155,1.8858016995342,1.865684551205,1.867
1115,1078796.885,1.8850246241714,1.864915850235,1.866
1116,1078866.285,1.8851446611873999,1.865034593635,1.866
1117,1078821.575,1.8850673289829998,1.8649580948249997,1.867
1118,1078568.605,1.8846297819522,1.864525263155,1.867
1119,1078304.695,1.8841733126598001,1.8640737131450003,1.868
1120,1078430.965,1.8843917143026,1.8642897611150002,1.868
1121,1078850.21,1.8851168572244,1.86500708931,1.868
