creations,redemptions,net_redemptions,actual_sell_fraction,assumed_buy_fx,assumed_sell_fx,roundtrip_CNY,full_stock_fx_gap_CNY
1,18,17,0.9444444444444444,0.855559,0.855441,-9342.181737678728,-9891.721839895123
10,27,17,0.6296296296296297,0.855559,0.855441,-6228.121158452484,-9891.721839895123
50,67,17,0.2537313432835821,0.855559,0.855441,-2509.839869824136,-9891.721839895123
100,117,17,0.1452991452991453,0.855559,0.855441,-1437.2587288736504,-9891.721839895123
200,217,17,0.07834101382488479,0.855559,0.855441,-774.9275174111386,-9891.721839895123
500,517,17,0.03288201160541586,0.855559,0.855441,-325.2597123369769,-9891.721839895123
